source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare
timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4982,6/25/2013 8:00,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,0.0,glc,4982.0,India,IN,Tamil Nādu,31364.0,Kangayam,6.03885,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,77.5947,10.9628,India_Media_Catalog,6/25/2013 8:00,2013-06-25 08:00:00,2013-06-25,10.9628,77.5947,10.9628,77.5947,True,10.963,77.595,2013-06-25
timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4983,6/25/2013 8:00,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,0.0,glc,4983.0,India,IN,Tamil Nādu,31364.0,Kangayam,6.03885,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,77.5947,10.9628,India_Media_Catalog,6/25/2013 8:00,2013-06-25 08:00:00,2013-06-25,10.9628,77.5947,10.9628,77.5947,True,10.963,77.595,2013-06-25
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-26/mumbai/40813862_1_kalyan-debris-kasara,5187,7/25/2013 1:30,"Malshej Ghat, Maharashtra","A landslide at MalshejGhat caused due to Thursday's downpour disrupted traffic on National Highway 222. Officials said the key motorway, which connects Kalyan to Nashik, will be cleared in two days. ""Given the terrain, our workers may be able to remove debris only by Saturday. Continuous rain has made our job difficult,"" said a public works department official. Motorists heading towards Nashik are being told to take the Kasara route, while Pune-bound traffic will be routed via Karjat. Following heavy rain, landslide at Malshej Ghat blocked National Highway 222 on Thursday early morning for 48 hours. Due to hills on the one side and deep valley another side the workers are finding it difficult to remove debris. The stones from the hills are so huge that it required it to cut in pieces to remove the debris and it may take 48 hours to complete it. Following the slide, Nashik-bound vehicles from Kalyan were diverted through Kasara. Those headed for Pune from Kalyan were asked to take the","Malshej Ghat, Maharashtra",5km,rock_fall,downpour,small,unknown,2.0,0.0,glc,5187.0,India,IN,Maharashtra,25997.0,Junnar,17.70621,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,73.7767,19.3379,India_Media_Catalog,7/25/2013 1:30,2013-07-25 01:30:00,2013-07-25,19.3379,73.7767,19.3379,73.7767,True,19.338,73.777,2013-07-25
timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4981,6/25/2013 8:00,"First Hairpin Bend, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","First Hairpin Bend, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,0.0,glc,4981.0,India,IN,Tamil Nadu,31364.0,Kangayam,6.03885,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,77.5947,10.9628,India_Media_Catalog,6/25/2013 8:00,2013-06-25 08:00:00,2013-06-25,10.9628,77.5947,10.9628,77.5947,True,10.963,77.595,2013-06-25
www.newsworms.com,http://www.newsworms.com/news_detail.php?ncatId=40&pcatid=36&news_id=7286,5088,7/12/2013 0:00,"Lohardobha Billage, Dhari, Nainital","Six people were killed in a landslide in Uttarakhand's Nainital district, officials said on Friday. The landslide came after a heavy spell of rains in Bheemal area late on Thursday. Five people of a family and one other person were buried following the landslide triggered by incessant rains in the past few days.","Lohardobha Billage, Dhari, Nainital",5km,mudslide,downpour,medium,unknown,6.0,0.0,glc,5088.0,India,IN,Uttarakhand,42309.0,Naini Tāl,2.48894,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.4633,29.3802,India_Media_Catalog,7/12/2013 0:00,2013-07-12 00:00:00,2013-07-12,29.3802,79.4633,29.3802,79.4633,True,29.38,79.463,2013-07-12
www.newindianexpress.com,http://www.newindianexpress.com/nation/Fresh-landslides-in-Uttarakhand-as-bad-weather-persists/2013/07/25/article1701733.ece,5196,7/25/2013 0:00,"Uttarkashi, Uttarakhand","Incessant rains continued to buffet Uttarakhand, triggering landslides in Uttarkashi and Chamoli that damaged many houses in the two districts. While 30 houses were reported to be damaged in Uttarkashi, four settlements were razed in the landslips in Alaknanda valley of Chamoli district.","Uttarkashi, Uttarakhand",unknown,landslide,continuous_rain,medium,unknown,0.0,0.0,glc,5196.0,India,IN,Uttarakhand,17123.0,Uttarkāshi,18.4002,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.48,30.8928,India_Media_Catalog,7/25/2013 0:00,2013-07-25 00:00:00,2013-07-25,30.8928,78.48,30.8928,78.48,True,30.893,78.48,2013-07-25
www.newsworms.com,http://www.newsworms.com/news_detail.php?ncatId=40&pcatid=36&news_id=7286,5086,7/12/2013 0:00,"Nainital District, Uttarakhand","Six people were killed in a landslide in Uttarakhand's Nainital district, officials said on Friday. The landslide came after a heavy spell of rains in Bheemal area late on Thursday. Five people of a family and one other person were buried following the landslide triggered by incessant rains in the past few days.","Nainital District, Uttarakhand",5km,landslide,rain,medium,unknown,6.0,0.0,glc,5086.0,India,IN,Uttarakhand,42309.0,Naini Tāl,2.48894,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.4633,29.3802,India_Media_Catalog,7/12/2013 0:00,2013-07-12 00:00:00,2013-07-12,29.3802,79.4633,29.3802,79.4633,True,29.38,79.463,2013-07-12
The Hindu,http://www.thehindu.com/news/national/tamil-nadu/ghat-road-leading-to-temple-closed-following-landslip/article7831586.ece,8893,10/31/2015 0:00,Arthanareeswarar Temple,"Downpour for about three hours on Saturday evening led to landslip, the second in the last four days, on the ghat road leading to Arthanareeswarar Temple situated atop a hillock in the town in the early hours of Sunday.  Due to sharp showers, landslip was reported near the fourth bend on Thursday. This led to closure of road for traffic and the district administration launched restoration works instantly.  Heavy rainfall lashed Tiruchengode town and the surrounding areas again on Saturday evening. Landslip took place again on Sunday morning, this time near the first bend.  On receiving information, V. Dakshinamoorthy, Collector, rushed to the spot and inspected the entire stretch of the damaged road walking for about a km.        Mahatma, Revenue Divisional Officer, Tiruchengode; Pon Saraswathi, Chairperson, Tiruchengode Municipality, and PWD and HR and CE officials accompanied the Collector.  The Collector said that the Government had sanctioned Rs. 21 lakh for the road restoration wo",Arthanareeswarar Temple,exact,landslide,downpour,small,above_road,0.0,0.0,glc,8893.0,India,IN,Tamil Nadu,87123.0,Tiruchengode,0.82783,7/11/2016 16:57,11/20/2017 15:17,2/15/2018 15:51,77.899,11.3742,India_Media_Catalog,10/31/2015 0:00,2015-10-31 00:00:00,2015-10-31,11.3742,77.899,11.3742,77.899,True,11.374,77.899,2015-10-31
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-26/mumbai/40813862_1_kalyan-debris-kasara,5189,7/25/2013 5:00,"Malshej Ghat, Maharashtra","A landslide at MalshejGhat caused due to Thursday's downpour disrupted traffic on National Highway 222. Officials said the key motorway, which connects Kalyan to Nashik, will be cleared in two days. ""Given the terrain, our workers may be able to remove debris only by Saturday. Continuous rain has made our job difficult,"" said a public works department official. Motorists heading towards Nashik are being told to take the Kasara route, while Pune-bound traffic will be routed via Karjat. Following heavy rain, landslide at Malshej Ghat blocked National Highway 222 on Thursday early morning for 48 hours. Due to hills on the one side and deep valley another side the workers are finding it difficult to remove debris. The stones from the hills are so huge that it required it to cut in pieces to remove the debris and it may take 48 hours to complete it. Following the slide, Nashik-bound vehicles from Kalyan were diverted through Kasara. Those headed for Pune from Kalyan were asked to take the","Malshej Ghat, Maharashtra",5km,rock_fall,downpour,medium,unknown,0.0,0.0,glc,5189.0,India,IN,Maharashtra,25997.0,Junnar,17.70621,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,73.7767,19.3379,India_Media_Catalog,7/25/2013 5:00,2013-07-25 05:00:00,2013-07-25,19.3379,73.7767,19.3379,73.7767,True,19.338,73.777,2013-07-25
www.newindianexpress.com,http://www.newindianexpress.com/nation/Fresh-landslides-in-Uttarakhand-as-bad-weather-persists/2013/07/25/article1701733.ece,5198,7/25/2013 0:00,"Quaritok, Uttarkashi, Uttarakhand","Landslides struck Quaritok and Malla villages of Uttarkashi, but there were no immediate reports of any casualty, officials said.","Quaritok, Uttarkashi, Uttarakhand",unknown,landslide,continuous_rain,medium,unknown,0.0,0.0,glc,5198.0,India,IN,Uttarakhand,17123.0,Uttarkāshi,18.4002,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.48,30.8928,India_Media_Catalog,7/25/2013 0:00,2013-07-25 00:00:00,2013-07-25,30.8928,78.48,30.8928,78.48,True,30.893,78.48,2013-07-25
