master_id,record_type,event_date,event_year,event_month,date_precision,latitude,longitude,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,injury_count,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare
IND-EVT-001259,EVENT,,2022.0,5.0,month,,,Assam,Dima Hasao,New Haflong Railway Station area,,,,Debris flow (cluster of landslides on slopes flanking the station),,,,,Landslide Atlas of India,,,Atlas:ATLAS-000001,1,,False,,MEDIUM,assam_dima hasao_new haflong railway station,,False,,"Text states damage occurred 15-16 May 2022 (date range, not single day). A parked train was overtoppled by a large debris flow NW of the station. Possibly overlaps with the broader 'Dima Hasao District' cluster-landslide record (see ATLAS-000012) from the same district/month; kept separate because atlas describes them as distinct figures (Fig. 3 vs Fig. 26).",LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001260,EVENT,2021-02-07,2021.0,2.0,day,,,Uttarakhand,Chamoli,Raunthi Gad,,,,Rock fall and debris flow (rock avalanche),,,,,Landslide Atlas of India,,,Atlas:ATLAS-000002,1,,False,,HIGH,2021-02-07_uttarakhand_chamoli_raunthi gad,,False,,"Also referred to in bibliography as the '07 February 2021 rock avalanche induced flash flood in Uttarakhand' (Martha et al., 2021).",LandslideGuard_Project_Master,2021-02-07,2021-02-07,2021-02-07,,,,,False,,,2021-02-07
IND-EVT-001265,EVENT,2017-08-13,2017.0,8.0,day,,,Himachal Pradesh,Mandi,"Kotropi village, on NH-154 (Mandi-Pathankot road)",,Rainfall,,"Rotational failure near crown, deep translational mechanism along body, channelized debris flow at toe",,,,,Landslide Atlas of India; Media/news reports,,,Atlas:ATLAS-000007; Media:MEDIA-000005,2,,False,,HIGH,2017-08-13_himachal pradesh_mandi_kotropi on nh 154 mandi pathankot road,EVTGRP-001271,True,,"Text explicitly states 'Sunday, 13th of August, 2017'. Also referenced in bibliography (Roy et al., 2018) as the Kotropi Landslide of 13 August 2017. || Also documented in the Landslide Atlas of India (see ATLAS-000007 in the earlier CSV). A confirmed death toll was not found in the media sources reviewed in this search session, so persons_death is left blank rather than guessed; commonly cited figures in secondary sources range roughly 40-50 but could not be verified to a primary source here.",LandslideGuard_Project_Master,2017-08-13,2017-08-13,2017-08-13,,,,,False,,,2017-08-13
IND-EVT-001266,EVENT,,2017.0,,year,,,Haryana,Panchkula,Panchkula,,Rainfall,,Shallow translational failure followed by channelized debris flow,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000008,1,,False,,MEDIUM,haryana_panchkula_panchkula,,False,,Text states landslide triggered by heavy monsoonal rain in 2017; no specific date given.,LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001269,EVENT,,2017.0,,year,,,Arunachal Pradesh,West Siang,West Siang,,Rainfall,,Shallow translational failure,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000011,1,,False,,MEDIUM,arunachal pradesh_west siang_west siang,,False,,Text states triggered by heavy monsoonal rain in 2017; no specific date given.,LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001270,EVENT,,2022.0,5.0,month,,,Assam,Dima Hasao,Dima Hasao District (cluster landslides),,Rainfall,,Shallow translational failures (cluster),,,,,Landslide Atlas of India,,,Atlas:ATLAS-000012,1,,False,,MEDIUM,assam_dima hasao_dima hasao cluster landslides,,False,,"Text states 'caused by heavy rainfall in the month of May, 2022'; no specific day given. Also see Bibliography (Roy et al., 2023) 'Cluster landslides ... Dima Hasao ... due to heavy rainfall in May 2022'. May substantially overlap with the New Haflong Railway Station record (ATLAS-000001) from the same district and month.",LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001272,EVENT,2022-06-30,2022.0,6.0,day,,,Manipur,Noney,Near Tupul Railway Station,,,,Rotational-type failure,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000014,1,,False,,HIGH,2022-06-30_manipur_noney_tupul railway station,,False,,Text explicitly states '30 June 2022'.,LandslideGuard_Project_Master,2022-06-30,2022-06-30,2022-06-30,,,,,False,,,2022-06-30
IND-EVT-001273,EVENT,,2017.0,,year,,,Mizoram,Aizawl,Aizawl,,Rainfall,,Shallow translational failure,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000015,1,,False,,MEDIUM,mizoram_aizawl_aizawl,,False,,Text states triggered by heavy monsoonal rain in 2017; no specific date given.,LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001274,EVENT,,2017.0,,year,,,Tripura,Dhalai,Dhalai,,Rainfall,,Shallow translational failure,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000016,1,,False,,MEDIUM,tripura_dhalai_dhalai,,False,,Text states triggered by heavy monsoonal rain in 2017; no specific date given.,LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001275,EVENT,,2017.0,,year,,,Meghalaya,East Khasi Hills,East Khasi Hills,,Rainfall,,Shallow translational failures,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000017,1,,False,,MEDIUM,meghalaya_east khasi hills_east khasi hills,,False,,Text states triggered by heavy monsoonal rain in 2017; no specific date given.,LandslideGuard_Project_Master,,,,,,,,False,,,
