source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1055.0,7/22/2009 0:00,"Kerseong, West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Kerseong, West Bengal ",10km,landslide,downpour,medium,unknown,0.0,0.0,glc,1055.0,India,IN,Bengal,46427.0,Kārsiyāng,0.15035,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.2788,26.8826,India_Media_Catalog,7/22/2009 0:00,2009-07-22 00:00:00,2009-07-22,26.8826,88.2788,26.8826,88.2788,True,26.883,88.279,2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1054.0,7/22/2009 0:00,"Gayabari,  West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Gayabari,  West Bengal ",10km,landslide,downpour,medium,unknown,0.0,0.0,glc,1054.0,India,IN,Bengal,46427.0,Kārsiyāng,4.62496,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.3143,26.8572,India_Media_Catalog,7/22/2009 0:00,2009-07-22 00:00:00,2009-07-22,26.8572,88.3143,26.8572,88.3143,True,26.857,88.314,2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telegraph India,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp,1061.0,7/1/2009 5:40,Bridge destroyed at 4th Mile,Landslides triggered by heavy rains hit an iron bridge on the North Sikkim Highway over Bar Khola at 4th Mile at around 5:40 am.,"4th Mile, Lower Mangshila in North Sikkim",1km,landslide,downpour,medium,unknown,0.0,0.0,glc,1061.0,India,IN,,1464.0,Mangan,3.541,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.527,27.478,India_Media_Catalog,7/1/2009 5:40,2009-07-01 05:40:00,2009-07-01,27.478,88.527,27.478,88.527,True,27.478,88.527,2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2164.0,7/29/2010 23:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Since the Chingai-Quingai road has been sunk due to landslides at various points following heavy rainfall that occured twice during the past 20 days, nearly 5,000 villagers of five villages in the sub-division are facing the alarming possibility of starvation.  The road from Chingai to Quingai in Chingai sub-division of Ukhrul district connects Quingai, Chalou, New Tasom, Tasom CV and Tasom Khullen villages.  However, the road has been disconnected in various places due to heavy rainfall that occurred on the night between July 29 and 30 and again on the night of August 15 .  According to Secretary, Information and Publicity, Northern Raphei Students' Union (NRSU), HAS Thuingaleng, nearly 5,000 villagers of the said villages have been facing extreme hardship.  The wooden bridge over Rondei river had been washed away by the powerful current of the river disconnecting the road.  Moreover, landslides have occurred completely blocking the road at different places.  However, due to the heavy","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0.0,0.0,glc,2164.0,India,IN,Manipur,15118.0,Phek,39.51186,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.48214677,25.3098633,India_Media_Catalog,7/29/2010 23:00,2010-07-29 23:00:00,2010-07-29,25.3098633,94.48214677,25.3098633,94.48214677,True,25.31,94.482,2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3821.0,7/21/2011 0:00,"Kumaon, Uttarakhand","Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Kumaon, Uttarakhand",25km,landslide,rain,medium,unknown,1.0,0.0,glc,3821.0,India,IN,Uttarakhand,32442.0,Almora,15.271,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.6367,29.7334,India_Media_Catalog,7/21/2011 0:00,2011-07-21 00:00:00,2011-07-21,29.7334,79.6367,29.7334,79.6367,True,29.733,79.637,2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribune India.com,,37.0,3/19/2007 0:00,Doba,"2 killed, 5 injured",Doba,25km,landslide,rain,medium,unknown,2.0,0.0,glc,37.0,India,IN,Kashmir,14711.0,Kupwāra,18.10887,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,74.3333,33.8778,India_Media_Catalog,3/19/2007 0:00,2007-03-19 00:00:00,2007-03-19,33.8778,74.3333,33.8778,74.3333,True,33.878,74.333,2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBN,http://ibnlive.in.com/generalnewsfeed/news/yatra-to-kedarnath-gangotri-yamunotri-resumes/745000.html,3669.0,6/29/2011 0:00,"National Highway leading to Gangotri, from Dehradun","Jul 1 (PTI) National highways leading to Kedarnath, Gangotri and Yamunotri, which were blocked due to landslides following heavy rains, were reopened today for traffic to resume the yatra, official sources said.The national highways leading to Kedarnath, Gangotri and Yamunotri were reopened for traffic after the Border Road Organisation (BRO) and police personnel cleared the debris, they said.However, traffic on Almora-Pithoragarh road could not be resumed as landslides continued to hit the area. Pauri- Safdarkhal road has also been blocked at Khundadhar area due to landslides.The landslides triggered by heavy rains for the past couple of days in most parts of Uttarakhand had blocked several roads in the state and forced the government to issue an alert.Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has directed the district magistrates of all the 13 districts to remain on alert.A total of 10 people have so far been killed in the state in various rains-related incidents for the pa","National Highway leading to Gangotri, from Dehradun",50km,landslide,downpour,medium,unknown,0.0,0.0,glc,3669.0,India,IN,Uttarakhand,17123.0,Uttarkāshi,34.03469,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.7963,30.7666,India_Media_Catalog,6/29/2011 0:00,2011-06-29 00:00:00,2011-06-29,30.7666,78.7963,30.7666,78.7963,True,30.767,78.796,2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3750.0,7/9/2011 0:00,Gangotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Gangotri,50km,landslide,downpour,medium,unknown,0.0,0.0,glc,3750.0,India,IN,Uttarakhand,17123.0,Uttarkāshi,14.8033,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.5925,30.7652,India_Media_Catalog,7/9/2011 0:00,2011-07-09 00:00:00,2011-07-09,30.7652,78.5925,30.7652,78.5925,True,30.765,78.592,2011-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3751.0,7/9/2011 0:00,Kedarnath,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Kedarnath,25km,landslide,downpour,medium,unknown,0.0,0.0,glc,3751.0,India,IN,Uttarakhand,2000.0,Pīpalkoti,48.67682,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.0685,30.7331,India_Media_Catalog,7/9/2011 0:00,2011-07-09 00:00:00,2011-07-09,30.7331,79.0685,30.7331,79.0685,True,30.733,79.068,2011-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3752.0,7/9/2011 0:00,Yamunotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Yamunotri,25km,landslide,downpour,medium,unknown,0.0,0.0,glc,3752.0,India,IN,Uttarakhand,7725.0,Barkot,30.56741,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.4129,31.0188,India_Media_Catalog,7/9/2011 0:00,2011-07-09 00:00:00,2011-07-09,31.0188,78.4129,31.0188,78.4129,True,31.019,78.413,2011-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
