master_id,record_type,event_date,event_year,event_month,date_precision,latitude,longitude,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,injury_count,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,record_type_clean,event_date_clean
IND-EVT-000074,EVENT,2016-04-19,2016.0,4.0,day,26.7223,95.0243,Nagaland,,"Techahan Ward, Mon, Nagaland, India",,continuous_rain,,,,,0.0,0.0,Assam Tribune,GLC-9405,http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058,India_Landslide_Catalog_Cleaned:9405,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-04-19_26.722_95.024,,False,,"(Landslide may have occurred within a week of April 19. )Altogether, 200 hailstorm affected families in Mon town of Nagaland have been given cash relief under the State Disaster Response Fund. Nagaland State Disaster Management Authority (NSDMA) and District Disaster Management Authority (DDMA) officials had undertaken a field assessment of the damages caused by heavy rainfall, hailstorm and windstorm in Mon district in April. Accordingly, relief was given to the families affected by landslide at Techahan Ward of Mon town. Techahan Ward was affected by a massive landslide triggered by the incessant heavy rainfall that lashed the town for about six days in a row during the third week of April. About 70 houses were completely damaged and 130 houses severely affected displacing about 125 families. One Government Primary School building located in the ward was also damaged by the landslide. Massive landslide had caused road blockage of Tobu-Mon BRO road.",EVENT,2016-04-19
IND-EVT-000122,EVENT,2016-06-12,2016.0,6.0,day,27.6438,93.871,Arunachal Pradesh,,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",,downpour,,,,,0.0,0.0,Arunachal Times,GLC-9168,http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/,India_Landslide_Catalog_Cleaned:9168,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-06-12_27.644_93.871,,False,,"Estimated location along road. Heavy rains on Sunday night triggered series of landslides between Ziro and Ripali, Tamen, 10Kms from Old Ziro, stranding the commuters for the entire day. However due to heavy rains, the restoration work had to be halted and will resume on Tuesday.",EVENT,2016-06-12
IND-EVT-000184,EVENT,2016-07-19,2016.0,7.0,day,26.09748244,91.8744337,Meghalaya,,"12th Mile area at Jorabat, Meghalaya, India",,unknown,,,,,0.0,1.0,NELIVE (North East Live),GLC-9051,http://www.nelive.in/assam/news/woman-injured-landslide,India_Landslide_Catalog_Cleaned:9051,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-07-19_26.097_91.874,,False,,"A family in 12th Mile area at Jorabat had a miraculous escape after a portion of a hillock located behind their compound fell on the house. The lady of the house, Nuni Sangma, received minor injuries in the incident.",EVENT,2016-07-19
IND-EVT-000224,EVENT,2016-06-12,2016.0,6.0,day,26.1677,94.2442,Nagaland,,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",,continuous_rain,,,,,0.0,0.0,Nagaland Post,GLC-9169,http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA5ODM0Mg%3D%3D,India_Landslide_Catalog_Cleaned:9169,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-06-12_26.168_94.244,,False,,"Location estimated. Due to incessant rain for the last two days multiple landslide and mudslides near Telangsao Hydro project has once again caused blockage to vehicular movement from Mon to Tobu area. According to sources, Hongpi, DPRO Mon, two culverts have been completely washed away by the landslide while multiple mudslides occurred along the roads. He also informed that since the occurance of landslide, the BRO have been engaged to clear the road blockage. It may be mentioned that there was a major mudslide in this particular area in the month of April. The situation is likely to deteriorate if it continues to rain in the days to come. This particular route is the life line of the Tobu subdivision of Mon district.",EVENT,2016-06-12
IND-EVT-000266,EVENT,2016-05-18,2016.0,5.0,day,24.5202,92.7239,Assam,,"Bilaipur, Hailakandi district, Assam, India",,continuous_rain,,,,,2.0,0.0,Indian Express,GLC-9335,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,India_Landslide_Catalog_Cleaned:9335,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-05-18_24.520_92.724,,False,,"One of two landslides in Bilaipur triggered by the same rainfall event. Ten people were killed in landslides in Karimganj and Hailakandi districts in Barak Valley in Assam on Wednesday following incessant rains. In neighbouring Hailakandi district, two incidents of landslide killed four persons at Bilaipur and a six-year old boy at Ramchandi area, police officials said. The debris fell on two houses where the victims were sleeping early in the morning, they said. NDRF and police have been engaged in rescue and relief operations.",EVENT,2016-05-18
IND-EVT-000313,EVENT,2016-07-19,2016.0,7.0,day,25.203,90.5573,Meghalaya,,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",,continuous_rain,,,,,0.0,0.0,Business Standard,GLC-9124,http://www.business-standard.com/article/news-ani/over-hundred-homes-displaced-due-to-landslide-in-meghalaya-116072100406_1.html,India_Landslide_Catalog_Cleaned:9124,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-07-19_25.203_90.557,,False,,At least three houses were destroyed and over a hundred others displaced by a massive landslide near Sibbari in Meghalaya's South Garo Hills District. A large portion of a hill came sliding down on Tuesday at Rongthragittim Songittal village due to incessant rains in the region for over six days. Such was the force with which the portion of the hill came down that some of the displaced houses were pushed as far away as hundred meters from their original position. No causalities have been reported due to the incident.,EVENT,2016-07-19
IND-EVT-000317,EVENT,2016-05-18,2016.0,5.0,day,24.4638,92.4943,Assam,,"Sonachirra, Karimganj district, Assam, India",,continuous_rain,,,,,5.0,0.0,Indian Express,GLC-9338,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,India_Landslide_Catalog_Cleaned:9338,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-05-18_24.464_92.494,,False,,"Estimated location. Ten people were killed in landslides in Karimganj and Hailakandi districts in Barak Valley in Assam on Wednesday following incessant rains. Five members of a family were killed in a landslide at Sonachirra in Karimganj district in the wee hours, a police official said. The landslip, triggered by incessant rains, buried a house on the edge of a hill killing the five people. Among the victims are a man, his wife and their daughter and two sons. The area has been hit by continuous rains for the past three days.",EVENT,2016-05-18
IND-EVT-000325,EVENT,2016-07-10,2016.0,7.0,day,25.7902,94.1318,Nagaland,,"National Highway 2, near Kohima, Nagaland, India",,downpour,,,,,0.0,0.0,Business Standard,GLC-8901,http://www.business-standard.com/article/news-ians/landslide-blocks-nh2-disrupting-traffic-to-and-from-manipur-116071000262_1.html,India_Landslide_Catalog_Cleaned:8901,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-07-10_25.790_94.132,,False,,"Manipur's road-link with the rest of the country was severely disrupted on Sunday as a landslide blocked National Highway 2 near the Nagaland capital Kohima. ""All available personnel and machinery are being used to remove the debris from the road,"" an official told IANS over phone from Kohima. NH 2 and NH 37 are the two main road links between the state and the rest of the country. However, it is feared that there may be fresh landlsides as heavy downpour continued to lash most of the northeastern states.",EVENT,2016-07-10
IND-EVT-000351,EVENT,2016-07-11,2016.0,7.0,day,26.1699,94.4922,Nagaland,,"North Point Colony, Akuluto, Nagaland, India",,unknown,,,,,0.0,0.0,Nagaland Post,GLC-8930,https://issuu.com/nagalandpost90/docs/july_13__2016,India_Landslide_Catalog_Cleaned:8930,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-07-11_26.170_94.492,,False,,"A massive landslide occurred at North Point Colony, Akuluto on July 11 at around 11p.m. According an official bulletin, SDO (civil) Akuluto, Kikumsangla Jamir, who visited the affected area, said five houses were damaged badly and the road leading to colony was also blocked. Local residents and personnel of 8th NAP, B Coy helped in clearing the road and also the affected families.",EVENT,2016-07-11
IND-EVT-000368,EVENT,2016-07-25,2016.0,7.0,day,25.48,94.1383,Manipur,,"Imphal-Dimapur road in Tadubi, Senapati district, Manipur, India",,continuous_rain,,,,,0.0,1.0,E-Pao,GLC-9186,http://www.e-pao.net/GP.asp?src=Snipp1..260716.jul16,India_Landslide_Catalog_Cleaned:9186,1,India Landslide Catalog,False,SOURCE,MEDIUM,2016-07-25_25.480_94.138,,False,,"Continuous downpour in the past three days led to a massive mudslide along Imphal-Dimapur road (NH-2) and destroyed 6 stalls constructed at the heart of Tadubi town at around 12.30pm today, reports NNN. An 81 year old woman identified as S Koshuni, who was in one of the shops miraculously escaped with minor injuries.",EVENT,2016-07-25
