source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,elevation,slope,aspect,soil_id,landcover_class,all_features_available
,,,,,,,,,,,,,,,,,,,,,,,,,91.056611,25.6985,LandslideGuard_Project_Master,,,,25.6985,91.056611,25.6985,91.056611,True,25.698,91.057,,IND-INV-026697,INVENTORY,,,unknown,Meghalaya,West Khasi Hills,1.1 km NNE of Nongprut,,Rainfall,Debris,Slide,Suspended,170.0,,Geological Survey of India (GSI) inventory,MG/WKH/78O02/2017/105,,GSI:19974,1.0,GSI,False,SOURCE,HIGH,25.698_91.057,,False,,OBJECTID=19974,889.13806,12.147326,242.45357,3647,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,88.686142,26.996957,LandslideGuard_Project_Master,,,,26.996957,88.686142,26.996957,88.686142,True,26.997,88.686,,IND-INV-021209,INVENTORY,2015.0,,year,West Bengal,Darjeeling,GORUBATHAN/KOTHILINE UPPER FAGU,2015.0,Rainfall,Rock,Fall,Active,300.0,,Geological Survey of India (GSI) inventory,WB/DAR/78B09/2015/739,,GSI:13418,1.0,GSI,False,SOURCE,HIGH,26.997_88.686,,False,,OBJECTID=13418,800.6747,40.304096,88.05216,3662,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.586167,25.029333,LandslideGuard_Project_Master,,,,25.029333,93.586167,25.029333,93.586167,True,25.029,93.586,,IND-INV-027944,INVENTORY,,,unknown,Manipur,Tamenglong,,,Rainfall,Debris,Slide,Active,56.0,,Geological Survey of India (GSI) inventory,MAN/TAM/83G12/2017/0060,,GSI:9584,1.0,GSI,False,SOURCE,HIGH,25.029_93.586,,False,,OBJECTID=9584,790.96466,16.985357,138.74094,4301,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,94.101028,26.180639,LandslideGuard_Project_Master,,,,26.180639,94.101028,26.180639,94.101028,True,26.181,94.101,,IND-INV-025606,INVENTORY,,,unknown,Nagaland,Wokha,,,Rainfall,Debris,Slide,Active,35.0,,Geological Survey of India (GSI) inventory,NAG/WOK/83J/4/2016/0110,,GSI:7351,1.0,GSI,False,SOURCE,HIGH,26.181_94.101,,False,,OBJECTID=7351,561.03284,56.140587,334.78015,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,92.069033,25.489833,LandslideGuard_Project_Master,,,,25.489833,92.069033,25.489833,92.069033,True,25.49,92.069,,IND-INV-027158,INVENTORY,,,unknown,Meghalaya,East Khasi Hills,,,Rainfall,Rock,Slide,Suspended,3850.0,,Geological Survey of India (GSI) inventory,ME/EKH/83C02/2015/186,,GSI:9663,1.0,GSI,False,SOURCE,HIGH,25.490_92.069,,False,,OBJECTID=9663,1242.6842,18.205097,317.24243,3646,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,94.151639,24.930944,LandslideGuard_Project_Master,,,,24.930944,94.151639,24.930944,94.151639,True,24.931,94.152,,IND-INV-024858,INVENTORY,,,unknown,Manipur,Ukhrul,,,Rainfall,Soil,Slide,Active,450.0,,Geological Survey of India (GSI) inventory,MN/UKH/83L01/2018/4,,GSI:23082,1.0,GSI,False,SOURCE,HIGH,24.931_94.152,,False,,OBJECTID=23082,1010.82874,25.047499,306.84518,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,95.975665,28.312731,LandslideGuard_Project_Master,,,,28.312731,95.975665,28.312731,95.975665,True,28.313,95.976,,IND-INV-023443,INVENTORY,,,unknown,Arunachal Pradesh,Lower Dibang Valley,From Hunli 11 km along HMH road,,Rainfall,Debris,Slide,Dormant,55.0,NIL,Geological Survey of India (GSI) inventory,AP/LDV/82P16/2022/114,,GSI:30383,1.0,GSI,False,SOURCE,HIGH,28.313_95.976,,False,,OBJECTID=30383,921.96344,28.694279,355.36047,11790,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,92.951981,22.842268,LandslideGuard_Project_Master,,,,22.842268,92.951981,22.842268,92.951981,True,22.842,92.952,,IND-INV-030303,INVENTORY,,,unknown,Mizoram,Lunglei,,,"Rainfall, Anthropogenic",Debris,Slide,Active,0.0,,Geological Survey of India (GSI) inventory,MZ/LUN/84B13/2018/46,,GSI:21011,1.0,GSI,False,SOURCE,HIGH,22.842_92.952,,False,,OBJECTID=21011,1197.2108,27.261456,109.293976,4301,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,94.472889,26.232556,LandslideGuard_Project_Master,,,,26.232556,94.472889,26.232556,94.472889,True,26.233,94.473,,IND-INV-023856,INVENTORY,,,unknown,Nagaland,Zunheboto,,,Rainfall,Debris,Slide,Active,60.0,,Geological Survey of India (GSI) inventory,NAG/ZUNH/83J08/2015/ 0075,,GSI:7209,1.0,GSI,False,SOURCE,HIGH,26.233_94.473,,False,,OBJECTID=7209,974.26416,8.435821,102.14797,4276,50,True
,,,,,,,,,,,,,,,,,,,,,,,,,88.5765,27.005346,LandslideGuard_Project_Master,,,,27.005346,88.5765,27.005346,88.5765,True,27.005,88.576,,IND-INV-021168,INVENTORY,2011.0,,year,West Bengal,Darjeeling,,2011.0,Rainfall,Debris,Slide,Active,936.0,,Geological Survey of India (GSI) inventory,WB/DAR/78A12/2015/1414,,GSI:12959,1.0,GSI,False,SOURCE,HIGH,27.005_88.576,,False,,OBJECTID=12959,1039.8306,25.618372,136.52168,3662,10,True
Telegraph India,http://www.telegraphindia.com/1120608/jsp/siliguri/story_15584321.jsp#.UN_I7eSx_K0com,4394.0,6/7/2012 4:30,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)","Seven persons, three of them children, were killed when landslides struck a village in East Sikkim after a spate of rain lashed the area last night. Four members of a family were also among those wiped out in the early morning strikes.","Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)",25km,landslide,rain,large,unknown,7.0,0.0,glc,4394.0,India,IN,Sikkim,4026.0,Rangpo,11.12431,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.6458,27.1748,India_Media_Catalog,6/7/2012 4:30,2012-06-07 04:30:00,2012-06-07,27.1748,88.6458,27.1748,88.6458,True,27.175,88.646,2012-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.9389,15.195665,244.69113,3662,10,True
The Sangai Express,http://www.thesangaiexpress.com/page/items/54212/massive-landslide-along-maram-peren-road-downpour-creates-havoc-in-different-parts,7267.0,7/22/2015 0:00,NH-2 between Senapati and Mao,"Reports from other locations also say that minor landslides, potholes, water-logging have been spotted along the NH-2 stretch between Senapati and Mao.",NH-2 between Senapati and Mao,10km,landslide,continuous_rain,small,above_road,0.0,0.0,glc,7267.0,India,IN,Manipur,92113.0,Kohima,31.50636,7/23/2015 16:38,11/20/2017 15:17,2/15/2018 15:51,94.0926,25.3908,India_Media_Catalog,7/22/2015 0:00,2015-07-22 00:00:00,2015-07-22,25.3908,94.0926,25.3908,94.0926,True,25.391,94.093,2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.4,16.6042,144.43633,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,88.599721,27.003629,LandslideGuard_Project_Master,,,,27.003629,88.599721,27.003629,88.599721,True,27.004,88.6,,IND-INV-021175,INVENTORY,1968.0,,year,West Bengal,Darjeeling,Downhill of Pemling village,1968.0,Rainfall,Debris,Slide,Suspended,2100.0,,Geological Survey of India (GSI) inventory,WB/DAR/78A12/2015/165,,GSI:11699,1.0,GSI,False,SOURCE,HIGH,27.004_88.600,,False,,OBJECTID=11699,610.2519,35.29115,120.506676,3662,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,92.641035,24.171459,LandslideGuard_Project_Master,,,,24.171459,92.641035,24.171459,92.641035,True,24.171,92.641,,IND-INV-029468,INVENTORY,,,unknown,Mizoram,Kolasib,,,,Earth,Slide,Active,54.0,,Geological Survey of India (GSI) inventory,MZ/KOL/83D12/2016/18,,GSI:11440,1.0,GSI,False,SOURCE,HIGH,24.171_92.641,,False,,OBJECTID=11440,136.48166,18.738497,180.05312,3665,10,True
Saharas Samay,http://www.saharasamay.com/samayhtml/articles.aspx?newsid=80536,130.0,7/19/2007 0:00,Guwahati,closest to predicted location of Gauhati (167.34 km),Guwahati,25km,landslide,rain,medium,unknown,6.0,0.0,glc,130.0,India,IN,Assam,2000.0,Dispur,3.80164,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,91.7986,26.1699,India_Media_Catalog,7/19/2007 0:00,2007-07-19 00:00:00,2007-07-19,26.1699,91.7986,26.1699,91.7986,True,26.17,91.799,2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.23758,16.00369,192.4992,3637,10,True
