master_id,record_type,event_date,event_year,event_month,date_precision,latitude,longitude,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,injury_count,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,record_type_clean
IND-INV-020435,INVENTORY,,,,unknown,25.23908,90.63944,Meghalaya,South Garo hills,Baghmara slide,,,Debris,Slide,,0.0,,,Geological Survey of India (GSI) inventory,MEGH/SGH/78K12/2007/D-21,,GSI:511,1,GSI,False,SOURCE,HIGH,25.239_90.639,,False,,OBJECTID=511,INVENTORY
IND-INV-020436,INVENTORY,,,,unknown,25.39466,90.69083,Meghalaya,South Garo hills,Nengkhra-Nongalbibra road slide,,Anthropogenic,Debris,Slide,Active,117.0,,,Geological Survey of India (GSI) inventory,MG/SGH/78K11/2018/1,,GSI:22463,1,GSI,False,SOURCE,HIGH,25.395_90.691,,False,,OBJECTID=22463,INVENTORY
IND-INV-020437,INVENTORY,,,,unknown,25.512611,90.658611,Meghalaya,East Garo hills,Williamnagar road slide,,Anthropogenic/a Rainfall,Debris,Slide,Active,108.0,,,Geological Survey of India (GSI) inventory,MG/EGH/78K10/2018/1,,GSI:22701,1,GSI,False,SOURCE,HIGH,25.513_90.659,,False,,OBJECTID=22701,INVENTORY
IND-INV-020438,INVENTORY,,,,unknown,25.50781,90.68,Meghalaya,East Garo hills,Williamnagar road slide,,Anthropogenic,Rock,Slide,Active,110.0,,,Geological Survey of India (GSI) inventory,MG/EGH/78K10/2018/2,,GSI:22459,1,GSI,False,SOURCE,HIGH,25.508_90.680,,False,,OBJECTID=22459,INVENTORY
IND-INV-020439,INVENTORY,,,,unknown,25.5014,90.68972,Meghalaya,East Garo hills,Williamnagar road slide,,Rainfall,Debris,Slide,Active,34.0,,,Geological Survey of India (GSI) inventory,MG/EGH/78K10/2018/3,,GSI:22460,1,GSI,False,SOURCE,HIGH,25.501_90.690,,False,,OBJECTID=22460,INVENTORY
IND-INV-020440,INVENTORY,,2019.0,,year,25.56,90.37,Meghalaya,West Garo Hills,Tura-Williamnagar road slide no 3,2019.0,Rainfall,Debris,Slide,Active,114.0,,,Geological Survey of India (GSI) inventory,MG/WGH/78K06/2020/16,,GSI:27533,1,GSI,False,SOURCE,HIGH,25.560_90.370,,False,,OBJECTID=27533,INVENTORY
IND-INV-020441,INVENTORY,,,,unknown,25.56,90.34,Meghalaya,West Garo Hills,Tura-Williamnagar road slide no 2,,Rainfall,Earth,Slide,Active,200.0,,,Geological Survey of India (GSI) inventory,MG/WGH/78K06/2020/15,,GSI:27532,1,GSI,False,SOURCE,HIGH,25.560_90.340,,False,,OBJECTID=27532,INVENTORY
IND-INV-020442,INVENTORY,,2019.0,,year,25.55,90.33,Meghalaya,West Garo Hills,Tura-Williamnagar road slide no 1,2019.0,Rainfall,Debris,Slide,Active,0.0,,,Geological Survey of India (GSI) inventory,MG/WGH/78K06/2020/14,,GSI:27531,1,GSI,False,SOURCE,HIGH,25.550_90.330,,False,,OBJECTID=27531,INVENTORY
IND-INV-020443,INVENTORY,,2019.0,,year,25.51,90.21,Meghalaya,West Garo Hills,Lower Hawakhana slide,2019.0,Rainfall,Rock,Slide,Active,1000.0,,,Geological Survey of India (GSI) inventory,MG/WGH/78K02/2020/1,,GSI:27510,1,GSI,False,SOURCE,HIGH,25.510_90.210,,False,,OBJECTID=27510,INVENTORY
IND-INV-020444,INVENTORY,,,,unknown,25.51028,90.21678,Meghalaya,West Garo Hills,Tura town (Rishipara) slide,,,,,,0.0,9,,Geological Survey of India (GSI) inventory,MEGH/WGH/78K02/2007/D-19,,GSI:567,1,GSI,False,SOURCE,HIGH,25.510_90.217,,False,,OBJECTID=567,INVENTORY
IND-INV-020445,INVENTORY,,,,unknown,25.5,90.21,Meghalaya,West Garo Hills,Tura-Dalu road slide no1,,Rainfall,Debris,Slide,Active,490.0,,,Geological Survey of India (GSI) inventory,MG/WGH/78K03/2020/1,,GSI:27513,1,GSI,False,SOURCE,HIGH,25.500_90.210,,False,,OBJECTID=27513,INVENTORY
IND-INV-020446,INVENTORY,,2019.0,,year,25.5,90.22,Meghalaya,West Garo Hills,Tura-Dalu road slide no2,2019.0,Rainfall,Debris,Slide,Active,900.0,,,Geological Survey of India (GSI) inventory,MG/WGH/78K03/2020/2,,GSI:27514,1,GSI,False,SOURCE,HIGH,25.500_90.220,,False,,OBJECTID=27514,INVENTORY
