event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source
18,27.4459,88.6193,2007-04-11,1961.0325927734373,11.777176856994627,153.777587890625,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
24,27.3383,88.6069,2007-05-23,1509.061279296875,21.31390380859375,211.17257690429688,3662.0,50.0,,,,,,1,landslide_event,event_date_standardized
303,26.8096,88.526,2007-06-15,164.79209899902344,9.189176559448242,83.54557800292969,3850.0,10.0,,,,,,1,landslide_event,event_date_standardized
320,26.1699,91.7986,2007-07-19,150.23757934570312,16.003690719604492,192.49920654296875,3637.0,10.0,,,,,,1,landslide_event,event_date_standardized
35,25.38,91.88,2007-07-26,1296.01123046875,35.4165153503418,132.4505157470703,3649.0,10.0,,,,,,1,landslide_event,event_date_standardized
283,25.5212,90.232,2007-07-27,589.8731079101562,19.785993576049805,234.9150848388672,3814.0,10.0,,,,,,1,landslide_event,event_date_standardized
37,22.479,92.967,2007-07-30,430.4695739746094,17.275562286376953,160.86233520507812,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
20,22.533,92.899,2007-07-30,811.10986328125,22.68686866760254,244.9351043701172,4301.0,30.0,,,,,,1,landslide_event,event_date_standardized
285,24.9667,93.55,2007-08-26,570.7347412109375,27.5104923248291,202.4696807861328,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
155,25.5576,91.8506,2007-08-26,1679.6717529296875,6.728731632232666,31.09918975830078,3646.0,10.0,,,,,,1,landslide_event,event_date_standardized
213,25.2946,92.8339,2007-08-26,901.7193603515624,13.407937049865724,323.7056579589844,3646.0,30.0,,,,,,1,landslide_event,event_date_standardized
82,25.7428,93.9136,2007-08-28,468.7663879394531,27.72938537597656,330.03515625,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
