event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source,nearest_grid_distance_km,nearest_grid_latitude,nearest_grid_longitude,grid_distance_valid,rainfall_temporal_coverage,all_rainfall_features_available
18,27.4459,88.6193,2007-04-11,1961.0325927734373,11.777176856994627,153.777587890625,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized,13.342160110076332,27.5,88.5,True,PRE_2009_NO_RAINFALL,False
24,27.3383,88.6069,2007-05-23,1509.061279296875,21.31390380859375,211.17257690429688,3662.0,50.0,,,,,,1,landslide_event,event_date_standardized,14.50619467628121,27.25,88.5,True,PRE_2009_NO_RAINFALL,False
303,26.8096,88.526,2007-06-15,164.79209899902344,9.189176559448242,83.54557800292969,3850.0,10.0,,,,,,1,landslide_event,event_date_standardized,7.123992672265185,26.75,88.5,True,PRE_2009_NO_RAINFALL,False
320,26.1699,91.7986,2007-07-19,150.23757934570312,16.003690719604492,192.49920654296875,3637.0,10.0,,,,,,1,landslide_event,event_date_standardized,10.150432068460255,26.25,91.75,True,PRE_2009_NO_RAINFALL,False
35,25.38,91.88,2007-07-26,1296.01123046875,35.4165153503418,132.4505157470703,3649.0,10.0,,,,,,1,landslide_event,event_date_standardized,17.940426451546426,25.5,92.0,True,PRE_2009_NO_RAINFALL,False
283,25.5212,90.232,2007-07-27,589.8731079101562,19.785993576049805,234.9150848388672,3814.0,10.0,,,,,,1,landslide_event,event_date_standardized,2.9658549561778402,25.5,90.25,True,PRE_2009_NO_RAINFALL,False
37,22.479,92.967,2007-07-30,430.4695739746094,17.275562286376953,160.86233520507812,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized,4.038622430092368,22.5,93.0,True,PRE_2009_NO_RAINFALL,False
20,22.533,92.899,2007-07-30,811.10986328125,22.68686866760254,244.9351043701172,4301.0,30.0,,,,,,1,landslide_event,event_date_standardized,10.727932613447154,22.5,93.0,True,PRE_2009_NO_RAINFALL,False
285,24.9667,93.55,2007-08-26,570.7347412109375,27.5104923248291,202.4696807861328,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized,6.216063726770827,25.0,93.5,True,PRE_2009_NO_RAINFALL,False
155,25.5576,91.8506,2007-08-26,1679.6717529296875,6.728731632232666,31.09918975830078,3646.0,10.0,,,,,,1,landslide_event,event_date_standardized,11.91236928449251,25.5,91.75,True,PRE_2009_NO_RAINFALL,False
213,25.2946,92.8339,2007-08-26,901.7193603515624,13.407937049865724,323.7056579589844,3646.0,30.0,,,,,,1,landslide_event,event_date_standardized,9.734199728461435,25.25,92.75,True,PRE_2009_NO_RAINFALL,False
82,25.7428,93.9136,2007-08-28,468.7663879394531,27.72938537597656,330.03515625,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized,8.659515907173796,25.75,94.0,True,PRE_2009_NO_RAINFALL,False
154,25.1333,93.9667,2007-08-31,1009.0635986328124,1.7692397832870483,224.24708557128903,4276.0,40.0,,,,,,1,landslide_event,event_date_standardized,13.40935674965096,25.25,94.0,True,PRE_2009_NO_RAINFALL,False
163,25.0604,93.9877,2007-09-08,1517.0406494140625,35.30424499511719,13.271148681640623,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized,6.834854868662734,25.0,94.0,True,PRE_2009_NO_RAINFALL,False
282,25.4993,94.1192,2007-09-09,1949.779052734375,18.59279441833496,305.9911193847656,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized,11.895895764759146,25.5,94.0,True,PRE_2009_NO_RAINFALL,False
180,24.2451,94.0691,2007-09-10,1282.6968994140625,40.48271179199219,109.07666778564452,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized,6.91741864737948,24.25,94.0,True,PRE_2009_NO_RAINFALL,False
68,27.3425,88.6236,2007-09-10,2073.262451171875,35.22848892211914,165.079345703125,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized,16.06785962725548,27.25,88.5,True,PRE_2009_NO_RAINFALL,False
274,25.52,91.27,2007-09-11,1342.830810546875,15.80071258544922,30.835792541503903,3647.0,10.0,,,,,,1,landslide_event,event_date_standardized,2.990071075258142,25.5,91.25,True,PRE_2009_NO_RAINFALL,False
72,24.4279,94.0564,2007-09-11,905.3639526367188,5.130692005157471,348.8346862792969,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized,9.803017850333077,24.5,94.0,True,PRE_2009_NO_RAINFALL,False
278,26.1833,91.8,2007-09-13,66.86455535888672,1.5381957292556765,139.26780700683594,3637.0,50.0,,,,,,1,landslide_event,event_date_standardized,8.945904307070114,26.25,91.75,True,PRE_2009_NO_RAINFALL,False
88,24.1293,92.6921,2007-09-29,820.6981811523438,4.077516555786133,10.126261711120604,3665.0,10.0,,,,,,1,landslide_event,event_date_standardized,14.626073443068316,24.25,92.75,True,PRE_2009_NO_RAINFALL,False
299,25.7055,94.0132,2007-10-16,1454.852783203125,16.8386173248291,131.76889038085938,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized,5.12589756053606,25.75,94.0,True,PRE_2009_NO_RAINFALL,False
298,25.4379,94.1162,2007-10-19,1501.2679443359375,24.711652755737305,170.06182861328125,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized,13.50045479909584,25.5,94.0,True,PRE_2009_NO_RAINFALL,False
12,24.75,93.4333,2007-10-21,443.1056213378906,37.95195770263672,184.34169006347656,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized,6.656369329934023,24.75,93.5,True,PRE_2009_NO_RAINFALL,False
167,24.9849,92.8411,2008-05-20,261.36444091796875,18.75289535522461,259.7520446777344,3708.0,10.0,,,,,,1,landslide_event,event_date_standardized,9.245473335764633,25.0,92.75,True,PRE_2009_NO_RAINFALL,False
219,24.6596,93.9784,2008-06-09,781.507080078125,7.111842155456543,18.54226875305176,4331.0,10.0,,,,,,1,landslide_event,event_date_standardized,10.291604387964144,24.75,94.0,True,PRE_2009_NO_RAINFALL,False
201,27.0998,93.6287,2008-06-14,406.5574340820313,8.568331718444824,317.7657470703125,11775.0,50.0,,,,,,1,landslide_event,event_date_standardized,16.43053184742482,27.0,93.75,True,PRE_2009_NO_RAINFALL,False
32,27.2298,94.0989,2008-06-15,94.88673400878906,1.5331401824951172,306.0379638671875,3683.0,10.0,,,,,,1,landslide_event,event_date_standardized,10.122708373595113,27.25,94.0,True,PRE_2009_NO_RAINFALL,False
96,24.9336,93.8275,2008-06-19,1016.5741577148438,14.779629707336426,122.88011932373048,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized,10.698304823473922,25.0,93.75,True,PRE_2009_NO_RAINFALL,False
264,25.705,94.04,2008-08-07,1042.6005859375,14.581320762634276,25.04717063903809,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized,6.405369673983306,25.75,94.0,True,PRE_2009_NO_RAINFALL,False
161,27.163,94.0,2008-08-14,95.43927764892578,3.058333396911621,62.02885818481445,3683.0,60.0,,,,,,1,landslide_event,event_date_standardized,9.684839999999895,27.25,94.0,True,PRE_2009_NO_RAINFALL,False
184,26.138,94.25,2008-08-19,1012.0200805664062,12.386430740356444,272.8748474121094,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized,12.467839999999796,26.25,94.25,True,PRE_2009_NO_RAINFALL,False
197,27.337,88.609,2008-08-28,1553.279052734375,18.342702865600582,213.3033599853516,3662.0,50.0,,,,,,1,landslide_event,event_date_standardized,14.564375263842926,27.25,88.5,True,PRE_2009_NO_RAINFALL,False
187,25.67,94.1066,2008-08-29,1442.8421630859375,19.77898979187012,310.3852844238281,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized,13.873764425652661,25.75,94.0,True,PRE_2009_NO_RAINFALL,False
47,27.4,92.35,2008-10-29,2630.97021484375,23.09853172302246,283.1123962402344,11879.0,10.0,,,,,,1,landslide_event,event_date_standardized,14.950355376288282,27.5,92.25,True,PRE_2009_NO_RAINFALL,False
142,26.3333,91.25,2008-10-29,41.574737548828125,0.3334966897964477,161.02320861816406,3650.0,40.0,,,,,,1,landslide_event,event_date_standardized,9.27295600000025,26.25,91.25,True,PRE_2009_NO_RAINFALL,False
87,27.2333,94.1167,2008-10-29,90.6147689819336,0.1822718381881714,21.21961212158203,3683.0,10.0,,,,,,1,landslide_event,event_date_standardized,11.793595205531272,27.25,94.0,True,PRE_2009_NO_RAINFALL,False
0,27.478,88.527,2009-07-01,746.7476196289062,21.305740356445312,190.0960235595703,3662.0,10.0,12.966178894042969,67.4974136352539,147.22596216201782,202.08282732963562,371.9279283285141,1,landslide_event,event_date_standardized,3.641158055957273,27.5,88.5,True,FULL,True
209,27.7,92.8,2009-08-12,2444.436279296875,14.2368745803833,222.82147216796875,11864.0,10.0,16.534317016601562,25.055775344371796,46.018175542354584,285.57811015844345,611.2121159881353,1,landslide_event,event_date_standardized,7.475177688144578,27.75,92.75,True,FULL,True
38,27.15977181,88.63411246,2009-08-16,812.6243286132812,40.2085075378418,47.09462738037109,3662.0,10.0,79.59229278564453,121.57568740844727,249.7219684123993,459.09509843587875,862.8805512785912,1,landslide_event,event_date_standardized,15.317861277738473,27.25,88.75,True,FULL,True
29,24.9925,93.5,2009-08-20,1213.68408203125,21.690649032592773,65.05585479736328,4301.0,50.0,5.58575963973999,9.435453534126282,95.89020216464996,128.2826610803604,207.5699042826891,1,landslide_event,event_date_standardized,0.8349000000002889,25.0,93.5,True,FULL,True
22,27.1761,88.5287,2009-08-20,299.4311218261719,5.506807327270508,235.9091186523437,3662.0,50.0,31.10710906982422,160.5953025817871,290.16262555122375,416.13932728767395,768.958838403225,1,landslide_event,event_date_standardized,8.710876011529407,27.25,88.5,True,FULL,True
9,25.5215,93.1645,2009-08-20,270.9970092773437,6.731748104095459,119.65299224853516,4276.0,10.0,2.442675828933716,8.788684248924255,46.95514380931854,117.19757667183876,173.19814524054527,1,landslide_event,event_date_standardized,8.861844711415964,25.5,93.25,True,FULL,True
146,25.1718,93.123,2009-08-27,723.78369140625,10.260483741760254,205.0050048828125,4276.0,30.0,29.43846893310547,44.75821304321289,49.41570468246937,95.48976458609104,263.3460651785135,1,landslide_event,event_date_standardized,15.048362391315125,25.25,93.0,True,FULL,True
211,24.8628,94.4182,2009-08-30,905.5567016601562,33.573360443115234,186.70074462890625,4301.0,10.0,1.4216063022613523,6.524518728256226,20.83163273334503,84.15378892421722,226.60519456863403,1,landslide_event,event_date_standardized,14.977143755796364,24.75,94.5,True,FULL,True
158,27.1954,88.6115,2009-09-17,478.9856262207031,13.082609176635742,137.0054473876953,3662.0,10.0,47.973899841308594,68.90163958072662,84.53075763583183,229.94487926363945,494.12554144859314,1,landslide_event,event_date_standardized,12.679032013668987,27.25,88.5,True,FULL,True
193,23.73478778,92.72124394,2009-10-05,974.2714233398438,25.156400680541992,21.64884757995605,7001.0,30.0,4.063979148864746,4.318403609097004,4.777386732399464,111.63170785456896,280.0219880118966,1,landslide_event,event_date_standardized,3.3321214278106157,23.75,92.75,True,FULL,True
116,24.7339,93.9161,2010-03-27,879.9097900390625,23.49284172058105,117.61614227294922,4276.0,30.0,9.469091415405272,9.645194530487059,9.645194530487059,9.827642023563383,25.44571727514267,1,landslide_event,event_date_standardized,8.562526356669924,24.75,94.0,True,FULL,True
19,25.1553,93.028,2010-04-01,576.326904296875,27.646631240844727,355.6628112792969,4276.0,10.0,37.55191421508789,72.33977699279785,133.1730318069458,133.1730318069458,149.7027199268341,1,landslide_event,event_date_standardized,10.906045927062511,25.25,93.0,True,FULL,True
221,27.8997,93.3497,2010-04-02,870.244873046875,7.713263034820557,211.4642028808593,11864.0,50.0,25.304676055908203,80.80371284484863,147.22974848747253,196.88112235069275,242.54127341508865,1,landslide_event,event_date_standardized,14.955303936336188,28.0,93.25,True,FULL,True
