latitude_standardized,longitude_standardized,dataset_source,event_date,event_date_standardized,event_year,event_month,usable_event_date,usable_event_year,usable_event_month,temporal_data_type
27.478,88.527,India_Media_Catalog,7/1/2009 5:40,2009-07-01 05:40:00,,,2009-07-01 05:40:00,,,EXACT_DATE
25.3098633,94.48214677,India_Media_Catalog,7/29/2010 23:00,2010-07-29 23:00:00,,,2010-07-29 23:00:00,,,EXACT_DATE
27.8385,88.556,India_Media_Catalog,9/19/2012 0:00,2012-09-19 00:00:00,,,2012-09-19 00:00:00,,,EXACT_DATE
27.6558,88.605,India_Media_Catalog,9/19/2012 0:00,2012-09-19 00:00:00,,,2012-09-19 00:00:00,,,EXACT_DATE
25.7658,93.9413,India_Media_Catalog,7/17/2013 0:00,2013-07-17 00:00:00,,,2013-07-17 00:00:00,,,EXACT_DATE
25.7131,94.0885,India_Media_Catalog,7/17/2013 0:00,2013-07-17 00:00:00,,,2013-07-17 00:00:00,,,EXACT_DATE
24.1419,94.1078,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,,,2015-08-01 00:00:00,,,EXACT_DATE
25.616,94.1167,India_Media_Catalog,7/12/2013 23:00,2013-07-12 23:00:00,,,2013-07-12 23:00:00,,,EXACT_DATE
25.4769,94.1351,India_Media_Catalog,10/8/2010 0:00,2010-10-08 00:00:00,,,2010-10-08 00:00:00,,,EXACT_DATE
25.5215,93.1645,India_Media_Catalog,8/20/2009 0:00,2009-08-20 00:00:00,,,2009-08-20 00:00:00,,,EXACT_DATE
25.8833,91.2,India_Media_Catalog,6/9/2010 14:15,2010-06-09 14:15:00,,,2010-06-09 14:15:00,,,EXACT_DATE
25.3179,94.0462,India_Media_Catalog,10/9/2010 0:00,2010-10-09 00:00:00,,,2010-10-09 00:00:00,,,EXACT_DATE
24.75,93.4333,India_Media_Catalog,10/21/2007 0:00,2007-10-21 00:00:00,,,2007-10-21 00:00:00,,,EXACT_DATE
25.0985,94.3619,India_Media_Catalog,9/24/2013 0:00,2013-09-24 00:00:00,,,2013-09-24 00:00:00,,,EXACT_DATE
27.6163,88.6586,India_Media_Catalog,5/24/2015 0:00,2015-05-24 00:00:00,,,2015-05-24 00:00:00,,,EXACT_DATE
25.5728,91.885,India_Media_Catalog,6/28/2010 0:00,2010-06-28 00:00:00,,,2010-06-28 00:00:00,,,EXACT_DATE
24.7625,93.4341,India_Media_Catalog,8/17/2013 23:00,2013-08-17 23:00:00,,,2013-08-17 23:00:00,,,EXACT_DATE
27.0987,93.816,India_Media_Catalog,6/9/2015 0:00,2015-06-09 00:00:00,,,2015-06-09 00:00:00,,,EXACT_DATE
27.4459,88.6193,India_Media_Catalog,4/11/2007 0:00,2007-04-11 00:00:00,,,2007-04-11 00:00:00,,,EXACT_DATE
25.1553,93.028,India_Media_Catalog,4/1/2010 0:00,2010-04-01 00:00:00,,,2010-04-01 00:00:00,,,EXACT_DATE
22.533,92.899,India_Media_Catalog,7/30/2007 0:00,2007-07-30 00:00:00,,,2007-07-30 00:00:00,,,EXACT_DATE
25.1175,92.8573,India_Media_Catalog,6/3/2012 0:00,2012-06-03 00:00:00,,,2012-06-03 00:00:00,,,EXACT_DATE
27.1761,88.5287,India_Media_Catalog,8/20/2009 0:00,2009-08-20 00:00:00,,,2009-08-20 00:00:00,,,EXACT_DATE
